chinese,chinese_tw,english,ja_jp,vietnamese,category,subcategory,notes
千帆城,千帆城,Thousand Sails City,千帆城,Thiên Phàm Thành,sect,name,Artifact crafting and commerce
妙化宗,妙化宗,Mystic Harmony Sect,妙化宗,Diệu Hóa Tông,sect,name,Sound-based cultivation
回玄宗,回玄宗,Returning Mystery Sect,回玄宗,Hồi Huyền Tông,sect,name,Formation specialists
不夜城,不夜城,Nightless City,不夜城,Bất Dạ Thành,sect,name,Defense and longevity
天行健宗,天行健宗,Heavenly Vigor Sect,天行健宗,Thiên Hành Kiện Tông,sect,name,Righteous qi cultivation
噬魔宗,噬魔宗,Demon Devouring Sect,噬魔宗,Phệ Ma Tông,sect,name,Demonic cultivation - plunder
掌门,掌門,Sect Master,掌門,Chưởng Môn,sect,rank,Also: Sect Leader
长老,長老,Elder,長老,Trưởng Lão,sect,rank,
内门弟子,內門弟子,Inner Disciple,内門弟子,Nội Môn Đệ Tử,sect,rank,
外门弟子,外門弟子,Outer Disciple,外門弟子,Ngoại Môn Đệ Tử,sect,rank,
弟子,弟子,Disciple,弟子,Đệ Tử,sect,rank,Generic
谷主,谷主,Valley Master,谷主,Cốc Chủ,sect,rank,Hundred Beasts Sect
供奉,供奉,Grand Elder,供奉,Cung Phụng,sect,rank,Honorary position
镜主,鏡主,Mirror Master,鏡主,Kính Chủ,sect,rank,Water Mirror Sect
殿主,殿主,Hall Master,殿主,Điện Chủ,sect,rank,Underworld King Sect
楼主,樓主,Tower Master,楼主,Lâu Chủ,sect,rank,Crimson Hook Sect
宫主,宮主,Palace Master,宮主,Cung Chủ,sect,rank,Joy Union Sect
住持,住持,Abbot,住職,Trụ Trì,sect,rank,Soul Suppression Sect
门主,門主,Gate Master,門主,Môn Chủ,sect,rank,Phantom Shadow Sect
城主,城主,City Lord,城主,Thành Chủ,sect,rank,Thousand Sails City / Nightless City
连霞山,連霞山,Lianxia Mountain,連霞山,Liên Hà Sơn,sect,headquarters,Bright Heart Sword Sect
玄灵洞,玄靈洞,Mysterious Spirit Cave,玄靈洞,Huyền Linh Động,sect,headquarters,Hundred Beasts Sect
碧波湖,碧波湖,Azure Wave Lake,碧波湖,Bích Ba Hồ,sect,headquarters,Water Mirror Sect
七鬼角,七鬼角,Seven Ghost Horns,七鬼角,Thất Quỷ Giác,sect,headquarters,Underworld King Sect - Island archipelago
明玉山,明玉山,Bright Jade Mountain,明玉山,Minh Ngọc Sơn,sect,headquarters,Crimson Hook Sect
桃花岛,桃花島,Peach Blossom Island,桃花島,Đào Hoa Đảo,sect,headquarters,Joy Union Sect
落魂海,落魂海,Soul-Calming Sea,落魂海,Lạc Hồn Hải,sect,headquarters,Soul Suppression Sect
鬼门湖,鬼門湖,Ghost Gate Lake,鬼門湖,Quỷ Môn Hồ,sect,headquarters,Phantom Shadow Sect
天星海,天星海,Celestial Star Sea,天星海,Thiên Tinh Hải,sect,headquarters,Thousand Sails City - Floating island
心园,心園,Heart Garden,心園,Tâm Viên,sect,headquarters,Mystic Harmony Sect
诸隐山,諸隱山,Hidden Mountains,諸隱山,Chư Ẩn Sơn,sect,headquarters,Returning Mystery Sect
大千光极城,大千光極城,Great Aurora City,大千光極城,Đại Thiên Quang Cực Thành,sect,headquarters,Nightless City
浩然峰,浩然峰,Haoran Peak,浩然峰,Hạo Nhiên Phong,sect,headquarters,Heavenly Vigor Sect
陷空山,陷空山,Sinking Void Mountain,陷空山,Hãm Không Sơn,sect,headquarters,Demon Devouring Sect
青云城,青雲城,Azure Cloud City,青雲城,Thanh Vân Thành,geography,city,
沙州城,沙州城,Sand State City,沙州城,Sa Châu Thành,geography,city,
翠林城,翠林城,Emerald Forest City,翠林城,Thúy Lâm Thành,geography,city,
沧澜城,滄瀾城,Azure Wave City,滄瀾城,Thương Lan Thành,geography,city,
揽月城,攬月城,Moon Embrace City,攬月城,Lãm Nguyệt Thành,geography,city,
平原地带,平原地帶,Plains,平原地帶,Bình Nguyên Địa Đới,geography,region,
西域流沙,西域流沙,Western Desert,西域流沙,Tây Vực Lưu Sa,geography,region,
南疆蛮荒,南疆蠻荒,Southern Wilderness,南疆蠻荒,Nam Cương Man Hoang,geography,region,
极北冰原,極北冰原,Northern Glacier,極北冰原,Cực Bắc Băng Nguyên,geography,region,
无边碧海,無邊碧海,Endless Azure Sea,無邊碧海,Vô Biên Bích Hải,geography,region,
天河奔流,天河奔流,Heavenly River,天河奔流,Thiên Hà Bôn Lưu,geography,region,
青峰山脉,青峰山脈,Azure Peak Mountains,青峰山脈,Thanh Phong Sơn Mạch,geography,region,
万丈雪峰,萬丈雪峰,Ten Thousand Zhang Snow Peaks,萬丈雪峰,Vạn Trượng Tuyết Phong,geography,region,
碧野千里,碧野千里,Thousand Li Grasslands,碧野千里,Bích Dã Thiên Lý,geography,region,
青云林海,青雲林海,Azure Cloud Forest Sea,青雲林海,Thanh Vân Lâm Hải,geography,region,
炎狱火山,炎獄火山,Inferno Volcano,炎獄火山,Viêm Ngục Hỏa Sơn,geography,region,
沃土良田,沃土良田,Fertile Farmlands,沃土良田,Ốc Thổ Lương Điền,geography,region,
幽冥毒泽,幽冥毒澤,Netherworld Poison Marsh,幽冥毒澤,U Minh Độc Trạch,geography,region,
十万大山,十萬大山,Hundred Thousand Mountains,十萬大山,Thập Vạn Đại Sơn,geography,region,
紫竹幽境,紫竹幽境,Purple Bamboo Sanctuary,紫竹幽境,Tử Trúc U Cảnh,geography,region,
凛霜荒原,凜霜荒原,Frost Desolation,凜霜荒原,Lẫm Sương Hoang Nguyên,geography,region,
碎星戈壁,碎星戈壁,Shattered Star Gobi,碎星戈壁,Toái Tinh Qua Bích,geography,region,
蓬莱遗岛,蓬萊遺島,Penglai Remnant Isle,蓬萊遺島,Bồng Lai Di Đảo,geography,region,
灵兔,靈兔,Spirit Rabbit,靈兔,Linh Thỏ,creature,beast,Qi Refinement
魔狼,魔狼,Demonic Wolf,魔狼,Ma Lang,creature,beast,Foundation
青云鹿,青雲鹿,Azure Cloud Deer,青雲鹿,Thanh Vân Lộc,creature,beast,Qi Refinement
暗影豹,暗影豹,Shadow Leopard,暗影豹,Ám Ảnh Báo,creature,beast,Foundation
碧海龙龟,碧海龍龜,Azure Sea Dragon Turtle,碧海龍龜,Bích Hải Long Quy,creature,beast,Core
石甲山熊,石甲山熊,Stone Armor Mountain Bear,石甲山熊,Thạch Giáp Sơn Hùng,creature,beast,Foundation
风速马,風速馬,Wind Speed Horse,風速馬,Phong Tốc Mã,creature,beast,Qi Refinement
熔岩蜥蜴,熔岩蜥蜴,Lava Lizard,熔岩蜥蜴,Dung Nham Tích Dịch,creature,beast,Foundation
毒瘴蛙,毒瘴蛙,Miasma Poison Frog,毒瘴蛙,Độc Chướng Oa,creature,beast,Foundation
撼地神牛,撼地神牛,Earth-Shaking Divine Bull,撼地神牛,Hám Địa Thần Ngưu,creature,beast,Core
冰魄骨蛇,冰魄骨蛇,Ice Soul Bone Serpent,冰魄骨蛇,Băng Phách Cốt Xà,creature,beast,Core
奇草,奇草,Wonder Grass,奇草,Kỳ Thảo,creature,plant,Qi Refinement
灵木,靈木,Spirit Wood,靈木,Linh Mộc,creature,plant,Foundation
沙漠仙人掌,沙漠仙人掌,Desert Immortal Cactus,沙漠仙人掌,Sa Mạc Tiên Nhân Chưởng,creature,plant,Qi Refinement
寒霜雪莲,寒霜雪蓮,Frost Snow Lotus,寒霜雪蓮,Hàn Sương Tuyết Liên,creature,plant,Foundation
水灵芝,水靈芝,Water Spirit Mushroom,水靈芝,Thủy Linh Chi,creature,plant,Foundation
雪绒花,雪絨花,Snow Velvet Flower,雪絨花,Tuyết Nhung Hoa,creature,plant,Qi Refinement
千年古松,千年古松,Millennial Ancient Pine,千年古松,Thiên Niên Cổ Tùng,creature,plant,Foundation
五谷灵稀,五穀靈稀,Five Grain Spirit Rice,五穀靈稀,Ngũ Cốc Linh Mễ,creature,plant,Qi Refinement
九曲清音竹,九曲清音竹,Nine Curve Pure Sound Bamboo,九曲清音竹,Cửu Khúc Thanh Âm Trúc,creature,plant,Core
聚星草,聚星草,Star Gathering Grass,聚星草,Tụ Tinh Thảo,creature,plant,Core
涅盘赤果,涅盤赤果,Nirvana Crimson Fruit,涅盤赤果,Niết Bàn Xích Quả,creature,plant,Nascent
玄铁矿脉,玄鐵礦脈,Black Iron Vein,玄鐵礦脈,Huyền Thiết Khoáng Mạch,resource,mine,Qi Refinement
赤铜矿脉,赤銅礦脈,Red Copper Vein,赤銅礦脈,Xích Đồng Khoáng Mạch,resource,mine,Foundation
秘银矿床,秘銀礦床,Mithril Deposit,秘銀礦床,Bí Ngân Khoáng Sàng,resource,mine,Core
庚金矿洞,庚金礦洞,Geng Metal Cave,庚金礦洞,Canh Kim Khoáng Động,resource,mine,Nascent
灵兔毛,靈兔毛,Spirit Rabbit Fur,靈兔毛,Linh Thỏ Mao,material,beast,Qi Refinement
魔狼牙,魔狼牙,Demonic Wolf Fang,魔狼牙,Ma Lang Nha,material,beast,Foundation
青云鹿角,青雲鹿角,Azure Cloud Deer Antler,青雲鹿角,Thanh Vân Lộc Giác,material,beast,Qi Refinement
暗影豹爪,暗影豹爪,Shadow Leopard Claw,暗影豹爪,Ám Ảnh Báo Trảo,material,beast,Foundation
龙龟甲片,龍龜甲片,Dragon Turtle Shell Fragment,龍龜甲片,Long Quy Giáp Phiến,material,beast,Core
山熊胆,山熊膽,Mountain Bear Gallbladder,山熊膽,Sơn Hùng Đảm,material,beast,Foundation
风速马鬃,風速馬鬃,Wind Speed Horse Mane,風速馬鬃,Bờm Phong Tốc Mã,material,beast,Foundation
熔岩鳞片,熔岩鱗片,Lava Lizard Scale,熔岩鱗片,Dung Nham Lân Phiến,material,beast,Core
毒瘴囊,毒瘴囊,Miasma Poison Sac,毒瘴囊,Độc Chướng Nang,material,beast,Foundation
神牛角,神牛角,Divine Bull Horn,神牛角,Thần Ngưu Giác,material,beast,Core
冰魄蛇胆,冰魄蛇膽,Ice Soul Serpent Gallbladder,冰魄蛇膽,Băng Phách Xà Đảm,material,beast,Core
奇草精华,奇草精華,Wonder Grass Essence,奇草精華,Kỳ Thảo Tinh Hoa,material,plant,Qi Refinement
灵木心,靈木心,Spirit Wood Heart,靈木心,Linh Mộc Tâm,material,plant,Foundation
仙人掌刺,仙人掌刺,Immortal Cactus Spine,仙人掌刺,Tiên Nhân Chưởng Thích,material,plant,Qi Refinement
雪莲花瓣,雪蓮花瓣,Snow Lotus Petal,雪蓮花瓣,Tuyết Liên Hoa Biện,material,plant,Foundation
灵芝孢子,靈芝孢子,Spirit Mushroom Spore,靈芝孢子,Linh Chi Bào Tử,material,plant,Foundation
雪绒花蕊,雪絨花蕊,Snow Velvet Flower Stamen,雪絨花蕊,Tuyết Nhung Hoa Nhị,material,plant,Qi Refinement
古松松脂,古鬆鬆脂,Ancient Pine Resin,古鬆鬆脂,Cổ Tùng Tùng Chi,material,plant,Core
灵稻精华,靈稻精華,Spirit Rice Essence,靈稻精華,Linh Đạo Tinh Hoa,material,plant,Qi Refinement
清音竹节,清音竹節,Pure Sound Bamboo Section,清音竹節,Thanh Âm Trúc Tiết,material,plant,Core
星纹叶,星紋葉,Star Pattern Leaf,星紋葉,Tinh Văn Diệp,material,plant,Foundation
赤果核,赤果核,Crimson Fruit Pit,赤果核,Xích Quả Hạch,material,plant,Core
玄铁,玄鐵,Black Iron,玄鐵,Huyền Thiết,material,mineral,Qi Refinement
赤精铜,赤精銅,Crimson Essence Copper,赤精銅,Xích Tinh Đồng,material,mineral,Foundation
秘银,秘銀,Mithril,秘銀,Bí Ngân,material,mineral,Core
庚金,庚金,Geng Metal,庚金,Canh Kim,material,mineral,Nascent
太白金府,太白金府,Taibai Metal Palace,太白金府,Thái Bạch Kim Phủ,geography,cave,Metal element
青木洞天,青木洞天,Verdant Wood Grotto,青木洞天,Thanh Mộc Động Thiên,geography,cave,Wood element
玄水秘境,玄水秘境,Mystic Water Secret Realm,玄水秘境,Huyền Thủy Bí Cảnh,geography,cave,Water element
离火洞府,離火洞府,Departing Fire Cave Dwelling,離火洞府,Ly Hỏa Động Phủ,geography,cave,Fire element
厚土玄宫,厚土玄宮,Thick Earth Mystery Palace,厚土玄宮,Hậu Thổ Huyền Cung,geography,cave,Earth element
古越遗迹,古越遺蹟,Ancient Yue Ruins,古越遺蹟,Cổ Việt Di Tích,geography,cave,Wood/Metal
沧海遗迹,滄海遺蹟,Azure Sea Ruins,滄海遺蹟,Thương Hải Di Tích,geography,cave,Water
紫气东来,紫氣東來,Purple Qi from the East,紫氣東來,Tử Khí Đông Lai,event,celestial,R
金煞之年,金煞之年,Year of Metal Killing,金煞之年,Kim Sát Chi Niên,event,celestial,R
木灵盛世,木靈盛世,Era of Wood Spirit Prosperity,木靈盛世,Mộc Linh Thịnh Thế,event,celestial,R
水德之纪,水德之紀,Age of Water Virtue,水德之紀,Thủy Đức Chi Kỷ,event,celestial,R
火劫时代,火劫時代,Era of Fire Tribulation,火劫時代,Hỏa Kiếp Thời Đại,event,celestial,R
土厚之世,土厚之世,Age of Thick Earth,土厚之世,Thổ Hậu Chi Thế,event,celestial,R
五行逆乱,五行逆亂,Five Elements in Chaos,五行逆亂,Ngũ Hành Nghịch Loạn,event,celestial,SR
天道均衡,天道均衡,Heavenly Dao Balance,天道均衡,Thiên Đạo Cân Bằng,event,celestial,SR
劫数将至,劫數將至,Tribulation Approaches,劫數將至,Kiếp Số Sắp Đến,event,celestial,SR
灵气复苏,靈氣復甦,Spiritual Energy Revival,靈氣復甦,Linh Khí Phục Tô,event,celestial,SSR
灵气枯竭,靈氣枯竭,Spiritual Energy Depletion,靈氣枯竭,Linh Khí Khô Kiệt,event,celestial,R
魔道兴盛,魔道興盛,Demonic Path Ascendant,魔道興盛,Ma Đạo Hưng Thịnh,event,celestial,R
正气浩然,正氣浩然,Righteous Qi Flourishing,正氣浩然,Chính Khí Hạo Nhiên,event,celestial,R
神兵出世,神兵出世,Divine Weapons Emerge,神兵出世,Thần Binh Xuất Thế,event,celestial,SR
阴阳交泰,陰陽交泰,Yin-Yang Harmony,陰陽交泰,Âm Dương Giao Thái,event,celestial,R
杀劫降临,殺劫降臨,Killing Tribulation Descends,殺劫降臨,Sát Kiếp Giáng Lâm,event,celestial,SR
太平盛世,太平盛世,Era of Great Peace,太平盛世,Thái Bình Thịnh Thế,event,celestial,R
气运加身,氣運加身,Fortune Bestowed,氣運加身,Khí Vận Gia Thân,event,celestial,R
血月当空,血月當空,Blood Moon Rises,血月當空,Huyết Nguyệt Đương Không,event,celestial,SR
飞升之门,飛昇之門,Gate of Ascension,飛昇之門,Phi Thăng Chi Môn,event,celestial,SSR
法则显化,法則顯化,Laws Manifest,法則顯化,Pháp Tắc Hiển Hóa,event,celestial,SSR
时空乱流,時空亂流,Spacetime Turbulence,時空亂流,Thời Không Loạn Lưu,event,celestial,SSR
生命恢复速率,生命恢復速率,HP Recovery Rate,HP回復速度,Tốc Độ Hồi Phục Sinh Mệnh,effect,,extra_hp_recovery_rate
最大生命值,最大生命值,Max HP,最大HP,Sinh Mệnh Tối Đa,effect,,extra_max_hp
最大寿元,最大壽元,Max Lifespan,最大寿命,Thọ Nguyên Tối Đa,effect,,extra_max_lifespan
兵器熟练度获取,兵器熟練度獲取,Weapon Proficiency Gain,武器熟練度獲得,Nhận Độ Thuần Thục Binh Khí,effect,,extra_weapon_proficiency_gain
双修经验,雙修經驗,Dual Cultivation Experience,双修経験,Kinh Nghiệm Song Tu,effect,,extra_dual_cultivation_exp
突破成功率,突破成功率,Breakthrough Success Rate,突破成功率,Tỷ Lệ Đột Phá Thành Công,effect,,extra_breakthrough_success_rate
奇遇概率,奇遇概率,Fortune Probability,奇遇確率,Xác Suất Kỳ Ngộ,effect,,extra_fortune_probability
霉运概率,黴運概率,Misfortune Probability,厄運確率,Xác Suất Xui Rủi,effect,,extra_misfortune_probability
采集获取材料,採集獲取材料,Harvest Material Bonus,採集獲得素材,Thưởng Nguyên Liệu Thu Thập,effect,,extra_harvest_materials
狩猎获取材料,狩獵獲取材料,Hunt Material Bonus,狩猟獲得素材,Thưởng Nguyên Liệu Săn Bắn,effect,,extra_hunt_materials
挖矿获取材料,挖礦獲取材料,Mining Material Bonus,採鉱獲得素材,Thưởng Nguyên Liệu Khai Khoáng,effect,,extra_mine_materials
物品出售价格,物品出售價格,Item Sell Price,アイテム売却価格,Giá Bán Vật Phẩm,effect,,extra_item_sell_price_multiplier
购买折扣,購買折扣,Purchase Discount,購入割引,Chiết Khấu Mua Hàng,effect,,shop_buy_price_reduction
兵器升级概率,兵器升級概率,Weapon Upgrade Chance,武器強化確率,Xác Suất Nâng Cấp Binh Khí,effect,,extra_weapon_upgrade_chance
搜刮收益,搜刮收益,Plunder Multiplier,略奪收益,Lợi Tức Cướp Đoạt,effect,,extra_plunder_multiplier
捕捉灵兽成功率,捕捉靈獸成功率,Beast Capture Success Rate,霊獣捕獲成功率,Tỷ Lệ Bắt Linh Thú Thành Công,effect,,extra_catch_success_rate
修炼经验,修煉經驗,Cultivation Experience,修行経験,Kinh Nghiệm Tu Luyện,effect,,extra_respire_exp
战力点数,戰力點數,Combat Power Points,戦力ポイント,Điểm Chiến Lực,effect,,extra_battle_strength_points
逃跑成功率,逃跑成功率,Escape Success Rate,逃走成功率,Tỷ Lệ Chạy Trốn Thành Công,effect,,extra_escape_success_rate
暗杀成功率,暗殺成功率,Assassination Success Rate,暗殺成功率,Tỷ Lệ Ám Sát Thành Công,effect,,extra_assassinate_success_rate
感知范围,感知範圍,Observation Radius,感知範囲,Phạm Vi Cảm Tri,effect,,extra_observation_radius
移动步长,移動步長,Movement Range,移動距離,Cự Ly Di Chuyển,effect,,extra_move_step
特殊能力,特殊能力,Special Abilities,特殊能力,Năng Lực Đặc Biệt,effect,,legal_actions
伤害减免,傷害減免,Damage Reduction,ダメージ軽減,Giảm Miễn Sát Thương,effect,,damage_reduction
境界压制,境界壓制,Realm Suppression,境界抑制,Áp Chế Cảnh Giới,effect,,realm_suppression_bonus
修炼时长缩减,修煉時長縮減,Cultivation Duration Reduction,修行時間短縮,Rút Ngắn Thời Gian Tu Luyện,effect,,respire_duration_reduction
铸造成功率,鑄造成功率,Forging Success Rate,鋳造成功率,Tỷ Lệ Chú Tạo Thành Công,effect,,extra_cast_success_rate
炼丹成功率,煉丹成功率,Alchemy Success Rate,錬丹成功率,Tỷ Lệ Luyện Đan Thành Công,effect,,extra_refine_success_rate
自愈效率,自癒效率,Self-Heal Efficiency,自己治癒効率,Hiệu Suất Tự Chữa Lành,effect,,extra_self_heal_efficiency
理性,理性,Rational,理性的,Lý Tính,persona,basic,Logical thinking
无常,無常,Fickle,無常,Vô Thường,persona,basic,Unpredictable goals
怠惰,怠惰,Slothful,怠惰,Lười Biếng,persona,basic,Lazy - avoids effort
冒险,冒險,Adventurous,冒険好き,Mạo Hiểm,persona,basic,Risk-taking
随性,隨性,Carefree,気まま,Tùy Hứng,persona,basic,Goes with the flow
贪财,貪財,Greedy,拝財,Tham Tài,persona,basic,Desires wealth
沉思,沉思,Contemplative,沈思,Trầm Tư,persona,basic,Deep thinker
惜命,惜命,Life-Cherishing,惜命,Tích Mệnh,persona,basic,Values own life
友爱,友愛,Friendly,友愛,Hữu Ái,persona,basic,Values harmony
复仇,復仇,Vengeful,復讐心,Phục Thù,persona,basic,Seeks revenge
孤僻,孤僻,Reclusive,孤高,Cô Lập,persona,basic,Prefers solitude
淡漠,淡漠,Indifferent,淡漠,Đạm Mạc,persona,basic,Emotionally detached
好斗,好鬥,Combative,好戦的,Hiếu Đấu,persona,basic,Enjoys fighting
鲁莽,魯莽,Reckless,無鉄砲,Lỗ Mãng,persona,basic,Acts without thinking
胆小,膽小,Timid,臆病,Nhát Gan,persona,basic,Avoids conflict
霸道,霸道,Domineering,覇道的,Bá Đạo,persona,basic,Forceful - selfish
内向,內向,Introverted,内向的,Hướng Nội,persona,basic,Prefers self-reflection
外向,外向,Extroverted,外向的,Hướng Ngoại,persona,basic,Social - outgoing
刻薄,刻薄,Caustic,辛辣,Cay Nghiệt,persona,basic,Sharp-tongued
热情,熱情,Enthusiastic,情熱的,Nhiệt Tình,persona,basic,Warm and friendly
开放,開放,Open-minded,開放的,Phóng Khoáng,persona,basic,Casual about relationships
腼腆,靦腆,Shy,内気,Thẹn Thùng,persona,basic,Reserved about relationships
嫉妒,嫉妒,Envious,嫉妒,Tật Đố,persona,basic,Jealous of others
好色,好色,Lustful,好色,Háo Sắc,persona,basic,Attracted to beauty
无欲,無慾,Ascetic,無慾,Vô Dục,persona,basic,No worldly desires
情绪化,情緒化,Emotional,情緒化,Cảm Tính,persona,basic,Mood swings
妒忌,妒忌,Jealous,妒忌,Đố Kỵ,persona,basic,Envious of success
采集者,採集者,Gatherer,採集者,Thu Thập Giả,persona,advanced,Bonus to herb gathering
猎人,獵人,Hunter,獵人,Liệp Nhân,persona,advanced,Bonus to beast hunting
修行痴迷,修行痴迷,Cultivation Maniac,修行痴迷,Tu Hành Si Mê,persona,advanced,Obsessed with training
舔狗,舔狗,Simp,舔狗,Liếm Cẩu,persona,advanced,Overly nice to attractive people
极端正义,極端正義,Extreme Righteous,極端正義,Cực Đoan Chính Nghĩa,persona,advanced,Fanatical about justice
极端邪恶,極端邪惡,Extreme Evil,極端邪惡,Cực Đoan Tà Ác,persona,advanced,Ruthless and cruel
心机深沉,心機深沉,Scheming,心機深沉,Tâm Cơ Thâm Trầm,persona,advanced,Calculating and secretive
忠诚,忠誠,Loyal,忠誠,Trung Thành,persona,advanced,Never betrays
狠辣,狠辣,Ruthless,狠辣,Tàn Độc,persona,advanced,Merciless
疑心重,疑心重,Suspicious,疑心重,Đa Nghi,persona,advanced,Trusts no one
探险家,探險家,Explorer,探險家,Thám Hiểm Gia,persona,advanced,Loves discovering new places
死宅,死宅,Homebody,死宅,Trạch Tử,persona,advanced,Hates traveling
扫把星,掃把星,Jinxed,掃把星,Sao Chổi,persona,advanced,Attracts misfortune
大器晚成,大器晚成,Late Bloomer,大器晚成,Đại Khí Vãn Thành,persona,advanced,Struggles early - thrives later
矿工,礦工,Miner,礦工,Khoáng Công,persona,advanced,Bonus to mining
苟,苟,Cautious,苟,Cẩu,persona,advanced,Extremely risk-averse
穿越者,穿越者,Transmigrator,穿越者,Xuyên Việt Giả,persona,legendary,From modern world
气运之子,氣運之子,Child of Destiny,氣運之子,Khí Vận Chi Tử,persona,legendary,Heaven's chosen one
重生者,重生者,Reborn,重生者,Trọng Sinh Giả,persona,legendary,Lived a previous life
福缘深厚,福緣深厚,Blessed,福緣深厚,Phúc Duyên Thâm Hậu,persona,legendary,Natural good fortune
剑修,劍修,Sword Cultivator,劍修,Kiếm Tu,persona,weapon,Sword specialist
剑痴,劍痴,Sword Fanatic,劍痴,Kiếm Si,persona,weapon,Obsessed with swords
刀修,刀修,Saber Cultivator,刀修,Đao Tu,persona,weapon,Saber specialist
刀痴,刀痴,Saber Fanatic,刀痴,Đao Si,persona,weapon,Obsessed with sabers
枪修,槍修,Spear Cultivator,槍修,Thương Tu,persona,weapon,Spear specialist
枪痴,槍痴,Spear Fanatic,槍痴,Thương Si,persona,weapon,Obsessed with spears
棍修,棍修,Staff Cultivator,棍修,Côn Tu,persona,weapon,Staff specialist
棍圣,棍聖,Staff Saint,棍聖,Côn Thánh,persona,weapon,Staff master
扇修,扇修,Fan Cultivator,扇修,Phiến Tu,persona,weapon,Fan specialist
扇痴,扇痴,Fan Fanatic,扇痴,Phiến Si,persona,weapon,Obsessed with fans
鞭修,鞭修,Whip Cultivator,鞭修,Tiên Tu,persona,weapon,Whip specialist
鞭痴,鞭痴,Whip Fanatic,鞭痴,Tiên Si,persona,weapon,Obsessed with whips
暗器高手,暗器高手,Hidden Weapon Expert,暗器高手,Ám Khí Cao Thủ,persona,weapon,Hidden weapon specialist
刺客宗师,刺客宗師,Assassin Grandmaster,刺客宗師,Thích Khách Tông Sư,persona,weapon,Master assassin
音律大师,音律大師,Music Master,音律大師,Âm Luật Đại Sư,persona,weapon,Zither/flute specialist
炼丹师,煉丹師,Alchemist,煉丹師,Luyện Đan Sư,persona,profession,Elixir crafting bonus
