宗门名称,行事风格,总部,成员,功法,宝物
水镜宗,超然中立，以窥探天机、推演气运为修行核心，主持‘水镜之会’发布谶语偈言，权威极高而口风严密。擅长水镜类侦测与传讯之术，注重理性推算与情报分析，行事低调圆滑，善于调停纷争、协调各方，力求自保避祸。不重修为境界，而重缘法能耐，表面清雅出尘，实则世故机变，虽掌握天机却不轻言生死，趋利避凶，影响深远。,位于北齐山中段的水镜洞天，核心为鉴湖，水系如网，灵脉众多，因封禁与地形显得幽静。彻天水镜存放于主河道中枢，是宗门观测天机的核心所在。,"水镜先生, 颜水月, 玉岚道人, 玉岚道姑, 李知客, 李珣, 水月师妹, 天芷上人, 灵喆, 明惑, 伍灵泉, 灵机, 季涯","推演之术, 水镜天心之术, 水镜法, 水镜神术, 镜化, 批命理, 推算劫数, 水镜秘法, 彻天水镜, 水镜之术, 推演天机的妙术, 水华重幕, 水镜大会相关法门, 阵法纹路刻画, 骨络通心之术, 寄魂转生, 无底冥环, 驱尸傀儡术, 血神法门, 截留复现影像之术, 测心映照之术","彻天水镜, 水镜, 扇子（上书‘天机无限，一半一半；信口胡言，且听且看’）, 镜傀儡, 墨丝蚶宝, 虹影珠, 流水盘, 水镜偈语"
朱勾宗,邪宗大派，通玄界顶尖炼器大宗，以炼器、机关、阵法与暗杀闻名。擅长制造邪门法宝和消耗性武器，手段阴毒狠辣，精于潜匿刺杀、悬红缉赏，行动隐秘且突袭力强。具有杀手组织性质，对叛逆者追杀到底，内部重视核心资源保护，但与宗主关系紧张时易生内乱。,明玉山，位于通玄界中部区域，临近西南丛林。,"百了刀, 明皇戟, 水蝶兰, 遁天刺, 朱勾九杀, 牵魂索, 蚀神刀, 小朱勾, 商侍, 寒玉勾, 疫鬼勾, 戮魂斧, 千机老怪, 邹老哥, 四杀","逆影遁法, 虚昧空遁, 寒玉勾, 刺血法, 暗杀之法, 慑魂魔音, 疫毒, 迭毒法, 专门设计的一套应用法门（用于日轮珠）","小朱勾, 花萼烟魔梭, 缚魂烟萝, 蓝星砂, 灵灭丝, 戮魂斧, 鬼灵珠串, 干天火灵珠, 蚀神刀, 日轮珠"
阴阳宗,行事不分正邪，以阴阳双修、媚功与魔功修行为主，擅长摄魂迷心、逆转阴阳、极致变化之道，手段凌厉，杀伐果断，对敌讲究合力围杀与气机操控。宗内体系严密，设日曜书官与月华长史为男女宗主候选人，统御五嫔七卿，等级森严，尊卑有序；师徒关系紧密且具控制性，存在日曜、月华两系权力斗争。注重双修采补、鼎炉玉婴等非常修行手段，涉心魔阵法、精神控制与隐秘布局，行事诡谲深沉，擅长谋略与心理战。虽势力不大，但政治影响力隐现，对外低调中立，倾向自保旁观，必要时主动出击，积威甚重。,具体位置未明，宗主云辇暂驻水镜洞天，与玄海幽明城、千帆城等地有联系，有南返计划。,"阴散人, 秦婉如, 李珣, 云蓝柯, 祈碧, 明玑, 羽侍, 阴重华, 古音, 栖霞, 羽夫人, 婵玉, 水蝶兰, 苏瑜, 吴姬","颠倒阴阳阵法, 阴阳双修之术, 惑神之术, 《阴符经}, 极变阴阳法, 幽脉, 通心法, 入神法, 惑神秘术, 驱魂炼魄通心大法, 不动邪心, 血神煅体, 外化血魇, 血分身, 《血神子}, 天魔舞, 五色神光, 定魂蓝星, 金丸神泥封印术, 碧火流莹咒法, 莲花八密, 摄魂迷心之术, 天罡雷煞之法, 血融之术, 攫灵法, 六御阳阴变","无颜甲, 天冥化阴珠, 定魂蓝星, 金击子, 扫雪铃, 太阴光极幡, 破魂梭, 落魂幡"
一斗米教,行事诡秘，介于正邪之间，被视作异类，龙蛇混杂，接纳三教九流与散修，势力较弱，以维持道统为要。擅长幻术，精于伪装潜入，可参与西联联盟活动。依赖人间香火供奉获取念力修炼，与散修盟会冲突较小，总体保守自保，在局势变动中谋求自身利益。,人间界,"公孙老哥, 泌阳子, 重华子, 孟章神君, 离天妖道","吸取信徒虔诚供奉所形成的念力精进修为, 采阴补阳的法门, 白莲化生",
星玑剑宗,桀骜不驯，强势霸道，护短重亲疏，杀伐果决，重视宗门信物与阵法控制；精通天星推演与阵法阵法，行事严谨封闭，对外警惕，注重清誉与独立性；受天垣翁主导，作风强硬，但因重大变故后宗主仙去、高手陨落，现趋于保守避世，封闭星河千载，不与外界往来。,位于星河（六大绝地之一，位置飘忽），中枢在太微垣聚星台，依托周天星力布设阵法，为核心所在。,"天垣老儿, 允星, 毕宿, 天垣翁, 王罗, 明玑, 天垣道友","化生星典, 星玑剑宗独门法诀（可吸纳炼化星力）, 《化星秘典》, 星变图, 破军仙剑剑诀, 星斗入剑, 剑化天星, 调动方圆十里阵法, 八阵图, 天心灵犀之术","参星盘, 定星, 黑曜晶, 破军仙剑, 化星剑帖, 九天星剑"
不言宗,奉行‘大巧不言’之道，精于阵法，擅长布设无声无息的阵法与突发性攻击，注重阵法与自然融合，风格内敛深奥，偏向水火交融、地脉为基的生克之法。作为阵法门派之一，与回玄宗、明心剑宗并列，曾掌控雾隐轩，留下深刻印记。宗风低调隐秘，不轻易显露手段，性好游历，前任宗主屈拙语曾遍游六大绝地。势力较弱，对结盟持保留态度，只求维持道统，尚未表态立场。,,"屈拙语, 乌吉","默语篇, 大巧不言, 弹指惊雷",
不夜城,正道九宗魁首之一，以防御见长，设有万里极光壁与严密阵法，能发动大型阵法‘永夜极光’抵御外敌。组织有序，有中枢指挥系统，曾统御一方并主持大局，虽因散修盟会压力被迫内迁、放弃祖地，但仍坚韧图强，志在复兴。宗主天芷上人性格锋芒毕露、言辞讥诮，行事看似随性实则深谋远虑，可为振兴宗门不惜入魔，具备极端手段与理智并存的特质。宗门重视辈分秩序、先师遗物与传统，内部可有限质疑宗主，但受尊卑约束。精通幻术，善用隐忍算计之策，行欲取先予、虚实结合、连环设局，为复仇可不惜代价。遭遇袭击后反应强硬，如许阁老被害引发高层震动。,原位于北海之滨，极地圈内，临近夜摩天，为正道十宗之一，曾设驻守监视夜摩天变化；后因形势所迫举宗内迁。,"天芷上人, 玉岚道人, 颜水月, 天河, 季涯, 许阁老, 极影真人, 天芷, 天河长老","极光玄真法, 永夜极光, 极光千变法, 极光千变, 极光元磁, 五色神光, 心魔精进法, 御剑之术, 极光玄法, 血神子, 先天五色神光, 回玄阵法","天仪盘, 虹影珠, 永夜极光, 万里极光壁, 宗门神器, 造化金丹, 锁心寒铁"
噬魔宗,邪道第一大宗，势力强盛，被誉为‘当之无愧的第一邪宗’，属通玄第一魔宗。行事诡谲霸道，阴狠残忍，擅长搜精噬血、操控怨念与魂魄，修炼阴毒魔功，以夺魄化形为无上秘法。作风张扬又隐秘，布局深远，情报网络发达，惯于借势谋利，派出暗探监视目标。宗主罗摩什性喜饮血，豪情万丈，强者为尊，为西联联盟魁首之一，亦是北盟潜在打击目标。,陷空山,"罗老妖, 飞天猿魔, 罗摩什, 雷喙鹰, 摩什上师, 不成器的弟子","天魔魅影, 搜精噬血, 飞魃讯法, 夺魄三化",
天妖宗,邪宗之一，霸道强势，以力破局，行事张扬，讲究因果报应，乐见妙化宗动作但未有实质举动。,,天妖凤凰,"控火之术, 离化神光, 血劫烛元神光",青碧玉羽
毒隐宗,邪宗之一，手段狠辣阴损，擅长用剧毒无差别杀伤并精准控制毒性范围，以制毒炼丹闻名天下，技术独步此界。与朱勾宗交换法门，能炼制如‘赤雪乱’等强效毒素，炼毒布陷之能天下无双。领袖狡诈如老狐狸，善于权谋，乐见他宗争斗而按兵不动，属西联联盟核心成员。,鸠盘山,"腐骨童子, 褚辰",,
极乐宗,邪道宗门，以采补秘法、媚功、蛊毒和迷药闻名，擅长精神迷惑与肉体诱惑，作风隐秘而诡谲，偏好使用香料、迷幻手段操控人心，行事阴狠且享乐主义色彩浓厚。属西联势力中的重量级宗门，虽乐见妙化宗动作但按兵不动，疑似暗中观察局势。被水蝶兰称为‘破烂地方’，名声不佳。,,"奼阴劫女, 吞阳劫姝, 销魂妃子, 七秀十三英, 莫宗主","刮骨抽髓极乐篇, 吞阳蚀元, 奼阴刮骨, 迷意颠香（特殊法诀）, 蛊术","极乐仙丹, 碧萝藤香, 流光蝶香, 龙犀香, 升仙窍, 九灵绣风桃花帐, 飞梦烟, 迷迭香"
虚缈宗,以守御见长，正道势力之一，拥有真一修为强者，积极参与正道联盟事务，作为定海神针稳定战局，抵抗散修盟会冲击。,委羽山,"聆风子, 听雪道人, 白虹, 流云子","虚空七真诀, 挪移术",
西极禅宗,佛门宗派，正道九宗之一，主张禅心契合天道，强调修养、化解干戈与善哉度化。修行禅理与真言神通，兼容并蓄，门下包含僧人与转化妖魔居士，持戒严谨，可施展音杀咒法等凌厉神通，亦能超渡亡魂、抵御外敌，行事稳重而有真性情，善于借势顺应劫数。,琉璃天,"摩信大师, 半成居士, 圆尘和尚, 了然和尚, 插翅飞虎","大灌顶光真言, 以身为渠，使劫煞如水, 咒法攻杀, 皮肤外腾起一层薄雾般的护体毫光（疑似禅宗护体神通）",
镇魂宗,行事豪情杀伐，作风雷厉风行，以音攻与魂魄类手段见长，擅长镇压妖邪、正面挑战强敌，铁血刚猛，克制阴邪鬼气，在正道中享有极高声望，为正道九宗之一，有真一境界宗主坐镇，重视联盟合作。,极南落魂海,"厉斗量, 卢阳","镇海八法, 镇魂之术","吞海灵犀, 明珠"
天妖剑宗,高傲孤僻，毛躁冲动，好战嗜杀，不喜合群，与正道九宗对立，常因冲突引发争斗；专修剑道，身剑如一，擅长快速震荡类剑技，战力强大；参与西联联盟，属邪宗大宗，地位显赫，作风强势。,,"七修尊者, 齐勿生, 徐亢, 修为较高的修士（与东阳山人对阵者）","勾魂残剑, 妖剑秘法, 蜂鸣快剑",
无量天宗,强势霸道，执法严厉，持戒甚严，门下弟子行事凌厉古板，以宗门利益为重，参与正道除魔卫道及重大事务商议；虽置身事外、明哲保身，对各方势力仅提供偏远岛屿安置，但仍在正道十宗之列。,位于东海七十二仙岛之一的琅环岛万里之外的主岛，是无量海中的核心基业。,"妙常真人, 重元道士",大无量玄元玉皇妙经,
星矶剑宗,阵法高明，擅长以天地星象布局设禁，为阵法大宗；剑道宗门，重视剑道造诣与宗门声誉，曾与明心宗切磋败北。,,天垣老儿,天星散数,
法华宗,正道宗门，参与除魔卫道。,,释无涯,妙法莲华,
战魔宗,行事张扬，崇尚战斗与挑战，好勇斗狠，常依附强宗行动，充当西联联盟打手；虽具威慑力与可观战力，但当前处境相对弱势，需看他人脸色，仅求维持道统，有拼死一战的潜力。与正道对立，曾因败于明心剑宗而失颜面。,昭阳泽,"罗刹金刚, 车宰臣, 李东觉, 宗主",,
百兽宗,曾为独立宗门，已覆灭十年，擅长驱兽之术，精通控制飞禽走兽作为耳目，是通玄界此类法门的翘楚，但被诸宗视为实力不强。宗主狮驼王拼死突围，死于笛声诱发七情欲火。宗门溃灭后法器流散，部分旧部被利用以图复宗名义，亦曾被用作祭品以提升北盟威慑力，凸显其在势力博弈中的牺牲地位。,,"狮驼王, 齐飞熊, 狮驼",,百兽结魂袍
千帆城,炼器大宗，擅长制作攻伐灵识类法宝，曾因制造‘灵灭丝’引发通玄界乱象；远蹈世外，不介入争斗，专注于炼器与买卖。作为四宗联盟重要成员，与千宝阁合作建立百工堂，提供超品匠师服务，涉足法宝订制、修复与交易，技术实力雄厚，政治立场灵活。,天星海,"图瑾, 公输大师, 章顺",,"灵灭丝, 定魂蓝星"
雁行宗,擅长情报收集与交易，以化形匿迹之术隐秘获取信息，整理后出售换取资源；耳目众多，消息通达，为通玄界所依赖；行事谨慎，不介入争斗，仅负责传递消息与战况情报。,,,化形匿迹之术,
千宝阁,以收集珍稀法宝为宗旨，奉行‘四空训’（金空、银空、人空、心空），注重收藏品味与超脱心态；商业性质浓厚，擅长交易与取宝，行事圆滑精明、灵活逐利，精于权谋算计，表面谦和实则富有扩张野心，推行市场化交易制度，参与水镜大会，与千帆城合作开设百工堂，打破传统资源交换模式。,千帆城,"箕二, 箕胖子, 竺良, 几个掌柜的, 箕不错, 征侍","嫁衣法, 饲养疫鬼七百余年的心得体会, 掺有百兽宗一些驭灵法门","夜魔无影, 惊神钟, 檀香珠, 墨丝蚶宝, 锁心寒铁"
大千光极城,雄踞极西大漠，军事化组织，拥金甲十万，以军阵征伐之术融入修行，注重纪律与集体力量，行事独立且具战略意图，领袖专横，参与西联联盟仅为凑数。,极西大漠（翰海）,大日法尊,大日三法门,
幽魂宗,神秘莫测，擅长隐匿与潜行，行事常出人意料,,幽离神君,噬影大法,司晨模铁
玄海幽明宗,钻研治学，专精阵法与空间研究，行事隐秘，以重要甬道为高层秘密用于应变求生；但治人能力薄弱，危难时易致人心惶惶。,玄海幽明城，位于虚空裂隙之地，毗邻通往九幽之域的深窟。,"弥玄苍, 玄海幽明城上万弟子, 真人境修士三五人","修行法门与幽魂噬影宗一脉相承, 运用阵法稳固空间甬道, 诸天羽化之术（间接关联）",
